DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
1	-1	1	-1	1
2	-1	1	-1	1
3	-0.666666666666667	0.666666666666667	-1	1
4	-0.75	0.75	-1	1
5	-0.6	0.6	-0.8	0.8
6	-0.666666666666667	0.666666666666667	-0.833333333333333	0.833333333333333
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714
8	-0.5	0.5	-0.75	0.625
9	-0.555555555555556	0.555555555555556	-0.666666666666667	0.666666666666667
10	-0.5	0.5	-0.6	0.7
11	-0.454545454545455	0.545454545454545	-0.636363636363636	0.636363636363636
12	-0.5	0.5	-0.666666666666667	0.583333333333333
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.615384615384615
14	-0.428571428571429	0.5	-0.571428571428572	0.571428571428571
15	-0.466666666666667	0.466666666666667	-0.6	0.6
16	-0.4375	0.4375	-0.625	0.5625
17	-0.470588235294118	0.411764705882353	-0.529411764705882	0.529411764705882
18	-0.444444444444444	0.444444444444444	-0.555555555555556	0.555555555555556
19	-0.421052631578947	0.421052631578947	-0.526315789473684	0.526315789473684
20	-0.4	0.4	-0.55	0.55
21	-0.428571428571429	0.428571428571429	-0.523809523809524	0.523809523809524
22	-0.409090909090909	0.409090909090909	-0.545454545454545	0.545454545454545
23	-0.391304347826087	0.391304347826087	-0.521739130434783	0.521739130434783
24	-0.416666666666667	0.416666666666667	-0.541666666666667	0.5
25	-0.4	0.4	-0.52	0.52
26	-0.423076923076923	0.384615384615385	-0.538461538461538	0.5
27	-0.407407407407407	0.407407407407407	-0.518518518518519	0.481481481481482
28	-0.392857142857143	0.392857142857143	-0.5	0.5
29	-0.379310344827586	0.379310344827586	-0.517241379310345	0.482758620689655
30	-0.4	0.4	-0.5	0.5
31	-0.387096774193548	0.387096774193548	-0.483870967741935	0.483870967741935
32	-0.375	0.375	-0.46875	0.5
33	-0.363636363636364	0.363636363636364	-0.484848484848485	0.484848484848485
34	-0.382352941176471	0.382352941176471	-0.5	0.5
35	-0.371428571428571	0.371428571428571	-0.457142857142857	0.485714285714286
36	-0.361111111111111	0.361111111111111	-0.5	0.5
37	-0.378378378378378	0.378378378378378	-0.486486486486486	0.486486486486486
38	-0.368421052631579	0.368421052631579	-0.473684210526316	0.473684210526316
39	-0.358974358974359	0.358974358974359	-0.461538461538462	0.461538461538462
40	-0.35	0.35	-0.475	0.475
41	-0.365853658536585	0.365853658536585	-0.463414634146341	0.463414634146341
42	-0.357142857142857	0.357142857142857	-0.476190476190476	0.452380952380952
43	-0.348837209302326	0.348837209302326	-0.465116279069767	0.465116279069767
44	-0.363636363636364	0.363636363636364	-0.477272727272727	0.454545454545455
45	-0.355555555555556	0.355555555555556	-0.466666666666667	0.466666666666667
46	-0.347826086956522	0.347826086956522	-0.456521739130435	0.456521739130435
47	-0.361702127659574	0.340425531914894	-0.468085106382979	0.446808510638298
48	-0.354166666666667	0.354166666666667	-0.458333333333333	0.458333333333333
49	-0.36734693877551	0.346938775510204	-0.489795918367347	0.448979591836735
50	-0.34	0.34	-0.46	0.44
51	-0.352941176470588	0.352941176470588	-0.450980392156863	0.450980392156863
52	-0.346153846153846	0.346153846153846	-0.461538461538462	0.442307692307692
53	-0.358490566037736	0.339622641509434	-0.452830188679245	0.452830188679245
54	-0.351851851851852	0.333333333333333	-0.444444444444444	0.425925925925926
55	-0.345454545454545	0.345454545454545	-0.472727272727273	0.436363636363636
56	-0.339285714285714	0.339285714285714	-0.446428571428571	0.446428571428571
57	-0.350877192982456	0.350877192982456	-0.43859649122807	0.456140350877193
58	-0.344827586206897	0.344827586206897	-0.448275862068965	0.448275862068966
59	-0.338983050847458	0.338983050847458	-0.440677966101695	0.457627118644068
60	-0.333333333333333	0.333333333333333	-0.433333333333333	0.45
61	-0.344262295081967	0.344262295081967	-0.426229508196721	0.459016393442623
62	-0.338709677419355	0.338709677419355	-0.435483870967742	0.435483870967742
63	-0.333333333333333	0.333333333333333	-0.428571428571429	0.444444444444444
64	-0.34375	0.34375	-0.4375	0.453125
65	-0.353846153846154	0.338461538461538	-0.446153846153846	0.430769230769231
66	-0.333333333333333	0.333333333333333	-0.454545454545454	0.439393939393939
67	-0.328358208955224	0.343283582089552	-0.417910447761194	0.432835820895522
68	-0.338235294117647	0.338235294117647	-0.455882352941176	0.441176470588235
69	-0.333333333333333	0.333333333333333	-0.434782608695652	0.434782608695652
70	-0.342857142857143	0.342857142857143	-0.428571428571429	0.442857142857143
71	-0.338028169014085	0.323943661971831	-0.436619718309859	0.436619718309859
72	-0.333333333333333	0.333333333333333	-0.430555555555556	0.430555555555556
73	-0.328767123287671	0.342465753424658	-0.424657534246575	0.438356164383562
74	-0.337837837837838	0.324324324324324	-0.432432432432432	0.432432432432432
75	-0.333333333333333	0.333333333333333	-0.426666666666667	0.44
76	-0.328947368421053	0.328947368421053	-0.434210526315789	0.421052631578947
77	-0.337662337662338	0.337662337662338	-0.428571428571429	0.441558441558442
78	-0.320512820512821	0.333333333333333	-0.435897435897436	0.435897435897436
79	-0.329113924050633	0.341772151898734	-0.430379746835443	0.430379746835443
80	-0.3375	0.325	-0.4375	0.425
81	-0.333333333333333	0.333333333333333	-0.419753086419753	0.432098765432099
82	-0.329268292682927	0.329268292682927	-0.414634146341463	0.439024390243902
83	-0.337349397590361	0.325301204819277	-0.433734939759036	0.421686746987952
84	-0.321428571428572	0.333333333333333	-0.428571428571429	0.428571428571429
85	-0.341176470588235	0.341176470588235	-0.447058823529412	0.435294117647059
86	-0.337209302325581	0.325581395348837	-0.441860465116279	0.418604651162791
87	-0.32183908045977	0.333333333333333	-0.436781609195402	0.425287356321839
88	-0.318181818181818	0.329545454545455	-0.420454545454546	0.431818181818182
89	-0.325842696629214	0.337078651685393	-0.426966292134832	0.438202247191011
90	-0.333333333333333	0.322222222222222	-0.433333333333333	0.422222222222222
91	-0.32967032967033	0.340659340659341	-0.428571428571429	0.428571428571429
92	-0.326086956521739	0.326086956521739	-0.423913043478261	0.423913043478261
93	-0.32258064516129	0.32258064516129	-0.43010752688172	0.419354838709677
94	-0.329787234042553	0.329787234042553	-0.425531914893617	0.425531914893617
95	-0.336842105263158	0.315789473684211	-0.442105263157895	0.421052631578947
96	-0.333333333333333	0.322916666666667	-0.416666666666667	0.427083333333333
97	-0.329896907216495	0.319587628865979	-0.422680412371134	0.412371134020619
98	-0.316326530612245	0.326530612244898	-0.408163265306123	0.418367346938776
99	-0.323232323232323	0.323232323232323	-0.414141414141414	0.414141414141414
100	-0.33	0.32	-0.44	0.41
101	-0.326732673267327	0.316831683168317	-0.425742574257426	0.425742574257426
102	-0.323529411764706	0.313725490196078	-0.431372549019608	0.411764705882353
103	-0.320388349514563	0.320388349514563	-0.41747572815534	0.41747572815534
104	-0.326923076923077	0.326923076923077	-0.442307692307692	0.413461538461538
105	-0.323809523809524	0.323809523809524	-0.428571428571429	0.438095238095238
106	-0.320754716981132	0.320754716981132	-0.415094339622641	0.415094339622641
107	-0.327102803738318	0.317757009345794	-0.429906542056075	0.420560747663551
108	-0.314814814814815	0.324074074074074	-0.416666666666667	0.416666666666667
109	-0.330275229357798	0.311926605504587	-0.422018348623853	0.412844036697248
110	-0.327272727272727	0.318181818181818	-0.427272727272727	0.409090909090909
111	-0.324324324324324	0.315315315315315	-0.423423423423423	0.414414414414414
112	-0.321428571428571	0.321428571428571	-0.419642857142857	0.410714285714286
113	-0.327433628318584	0.31858407079646	-0.424778761061947	0.407079646017699
114	-0.315789473684211	0.324561403508772	-0.412280701754386	0.429824561403509
115	-0.31304347826087	0.321739130434783	-0.4	0.408695652173913
116	-0.318965517241379	0.318965517241379	-0.431034482758621	0.405172413793103
117	-0.324786324786325	0.316239316239316	-0.418803418803419	0.418803418803419
118	-0.322033898305085	0.322033898305085	-0.415254237288136	0.415254237288136
119	-0.319327731092437	0.319327731092437	-0.411764705882353	0.403361344537815
120	-0.316666666666667	0.316666666666667	-0.408333333333333	0.416666666666667
121	-0.322314049586777	0.322314049586777	-0.413223140495868	0.413223140495868
122	-0.327868852459016	0.319672131147541	-0.418032786885246	0.418032786885246
123	-0.317073170731707	0.32520325203252	-0.398373983739837	0.414634146341463
124	-0.32258064516129	0.314516129032258	-0.419354838709677	0.411290322580645
125	-0.328	0.328	-0.424	0.432
126	-0.317460317460317	0.325396825396825	-0.412698412698413	0.412698412698413
127	-0.307086614173228	0.322834645669291	-0.425196850393701	0.425196850393701
128	-0.328125	0.3125	-0.421875	0.4140625
129	-0.317829457364341	0.317829457364341	-0.418604651162791	0.418604651162791
130	-0.315384615384615	0.315384615384615	-0.415384615384615	0.423076923076923
131	-0.312977099236641	0.320610687022901	-0.419847328244275	0.419847328244275
132	-0.310606060606061	0.318181818181818	-0.416666666666667	0.416666666666667
133	-0.308270676691729	0.315789473684211	-0.421052631578947	0.406015037593985
134	-0.32089552238806	0.313432835820896	-0.425373134328358	0.402985074626866
135	-0.311111111111111	0.318518518518519	-0.4	0.407407407407407
136	-0.323529411764706	0.316176470588235	-0.419117647058824	0.411764705882353
137	-0.321167883211679	0.321167883211679	-0.416058394160584	0.408759124087591
138	-0.318840579710145	0.311594202898551	-0.405797101449275	0.398550724637681
139	-0.323741007194245	0.316546762589928	-0.41726618705036	0.402877697841727
140	-0.314285714285714	0.321428571428571	-0.407142857142857	0.414285714285714
141	-0.312056737588652	0.312056737588652	-0.425531914893617	0.411347517730496
142	-0.316901408450704	0.316901408450704	-0.415492957746479	0.429577464788732
143	-0.321678321678322	0.314685314685315	-0.41958041958042	0.412587412587413
144	-0.319444444444444	0.319444444444444	-0.402777777777778	0.409722222222222
145	-0.310344827586207	0.310344827586207	-0.406896551724138	0.4
146	-0.321917808219178	0.315068493150685	-0.424657534246575	0.417808219178082
147	-0.312925170068027	0.312925170068027	-0.421768707482993	0.408163265306122
148	-0.324324324324324	0.310810810810811	-0.418918918918919	0.405405405405405
149	-0.308724832214765	0.315436241610738	-0.409395973154362	0.409395973154362
150	-0.313333333333333	0.313333333333333	-0.406666666666667	0.413333333333333
151	-0.317880794701987	0.311258278145695	-0.410596026490066	0.410596026490066
152	-0.322368421052632	0.31578947368421	-0.407894736842105	0.407894736842105
153	-0.313725490196078	0.30718954248366	-0.405228758169935	0.411764705882353
154	-0.318181818181818	0.318181818181818	-0.422077922077922	0.422077922077922
155	-0.316129032258064	0.316129032258065	-0.406451612903226	0.406451612903226
156	-0.314102564102564	0.314102564102564	-0.397435897435897	0.403846153846154
157	-0.312101910828025	0.318471337579618	-0.414012738853503	0.414012738853503
158	-0.316455696202532	0.316455696202532	-0.405063291139241	0.417721518987342
159	-0.314465408805031	0.320754716981132	-0.389937106918239	0.415094339622641
160	-0.3125	0.3125	-0.4125	0.39375
161	-0.31055900621118	0.31055900621118	-0.422360248447205	0.397515527950311
162	-0.320987654320988	0.308641975308642	-0.425925925925926	0.395061728395062
163	-0.300613496932515	0.319018404907975	-0.398773006134969	0.417177914110429
164	-0.317073170731707	0.310975609756098	-0.408536585365854	0.390243902439024
165	-0.309090909090909	0.309090909090909	-0.406060606060606	0.412121212121212
166	-0.313253012048193	0.313253012048193	-0.41566265060241	0.41566265060241
167	-0.311377245508982	0.311377245508982	-0.419161676646707	0.401197604790419
168	-0.30952380952381	0.31547619047619	-0.422619047619048	0.398809523809524
169	-0.313609467455621	0.313609467455621	-0.408284023668639	0.408284023668639
170	-0.305882352941176	0.311764705882353	-0.411764705882353	0.4
171	-0.309941520467836	0.309941520467836	-0.409356725146199	0.403508771929825
172	-0.313953488372093	0.302325581395349	-0.412790697674419	0.406976744186047
173	-0.312138728323699	0.30635838150289	-0.398843930635838	0.398843930635838
174	-0.304597701149425	0.316091954022988	-0.396551724137931	0.408045977011494
175	-0.314285714285714	0.314285714285714	-0.417142857142857	0.411428571428571
176	-0.3125	0.3125	-0.403409090909091	0.409090909090909
177	-0.310734463276836	0.305084745762712	-0.406779661016949	0.384180790960452
178	-0.308988764044944	0.303370786516854	-0.404494382022472	0.404494382022472
179	-0.307262569832402	0.307262569832402	-0.396648044692737	0.41340782122905
180	-0.316666666666667	0.305555555555556	-0.416666666666667	0.394444444444444
181	-0.320441988950276	0.314917127071823	-0.408839779005525	0.414364640883978
182	-0.313186813186813	0.307692307692308	-0.412087912087912	0.401098901098901
183	-0.306010928961749	0.306010928961749	-0.387978142076503	0.40983606557377
184	-0.304347826086956	0.309782608695652	-0.391304347826087	0.407608695652174
185	-0.313513513513514	0.308108108108108	-0.421621621621622	0.4
186	-0.317204301075269	0.311827956989247	-0.397849462365591	0.413978494623656
187	-0.315508021390374	0.315508021390374	-0.411764705882353	0.411764705882353
188	-0.308510638297872	0.308510638297872	-0.388297872340426	0.398936170212766
189	-0.312169312169312	0.312169312169312	-0.407407407407407	0.407407407407407
190	-0.305263157894737	0.305263157894737	-0.405263157894737	0.4
191	-0.303664921465969	0.31413612565445	-0.392670157068063	0.413612565445026
192	-0.307291666666667	0.3125	-0.401041666666667	0.401041666666667
193	-0.305699481865285	0.305699481865285	-0.398963730569948	0.404145077720207
194	-0.309278350515464	0.298969072164949	-0.412371134020619	0.391752577319588
195	-0.307692307692308	0.312820512820513	-0.4	0.41025641025641
196	-0.306122448979592	0.311224489795918	-0.403061224489796	0.418367346938776
197	-0.309644670050761	0.309644670050761	-0.406091370558376	0.390862944162437
198	-0.313131313131313	0.303030303030303	-0.409090909090909	0.409090909090909
199	-0.306532663316583	0.316582914572864	-0.407035175879397	0.422110552763819
200	-0.31	0.31	-0.405	0.41
201	-0.308457711442786	0.313432835820895	-0.393034825870647	0.407960199004975
202	-0.306930693069307	0.306930693069307	-0.391089108910891	0.405940594059406
203	-0.305418719211823	0.305418719211823	-0.403940886699507	0.389162561576355
204	-0.323529411764706	0.299019607843137	-0.426470588235294	0.397058823529412
205	-0.307317073170732	0.317073170731707	-0.404878048780488	0.409756097560976
206	-0.305825242718447	0.310679611650485	-0.407766990291262	0.388349514563107
207	-0.309178743961353	0.304347826086957	-0.405797101449275	0.410628019323671
208	-0.302884615384615	0.307692307692308	-0.394230769230769	0.403846153846154
209	-0.31578947368421	0.311004784688995	-0.397129186602871	0.401913875598086
210	-0.314285714285714	0.30952380952381	-0.404761904761905	0.395238095238095
211	-0.308056872037915	0.312796208530806	-0.398104265402844	0.417061611374408
212	-0.316037735849057	0.316037735849057	-0.415094339622641	0.400943396226415
213	-0.309859154929577	0.309859154929577	-0.408450704225352	0.408450704225352
214	-0.313084112149533	0.313084112149533	-0.406542056074766	0.406542056074766
215	-0.311627906976744	0.311627906976744	-0.404651162790698	0.404651162790698
216	-0.314814814814815	0.305555555555556	-0.421296296296296	0.398148148148148
217	-0.299539170506912	0.308755760368664	-0.3963133640553	0.400921658986175
218	-0.31651376146789	0.298165137614679	-0.422018348623853	0.389908256880734
219	-0.305936073059361	0.301369863013699	-0.406392694063927	0.392694063926941
220	-0.309090909090909	0.304545454545455	-0.409090909090909	0.395454545454546
221	-0.307692307692308	0.312217194570136	-0.393665158371041	0.402714932126697
222	-0.310810810810811	0.315315315315315	-0.405405405405405	0.40990990990991
223	-0.309417040358744	0.304932735426009	-0.408071748878924	0.408071748878924
224	-0.308035714285714	0.303571428571429	-0.397321428571429	0.392857142857143
225	-0.315555555555556	0.311111111111111	-0.4	0.404444444444444
226	-0.314159292035398	0.309734513274336	-0.402654867256637	0.407079646017699
227	-0.312775330396476	0.312775330396476	-0.39647577092511	0.409691629955947
228	-0.298245614035088	0.302631578947368	-0.390350877192982	0.399122807017544
229	-0.301310043668122	0.305676855895196	-0.393013100436681	0.397379912663755
230	-0.308695652173913	0.3	-0.404347826086957	0.395652173913043
231	-0.307359307359307	0.307359307359307	-0.398268398268398	0.415584415584416
232	-0.306034482758621	0.314655172413793	-0.400862068965517	0.400862068965517
233	-0.313304721030043	0.309012875536481	-0.399141630901288	0.399141630901288
234	-0.311965811965812	0.307692307692308	-0.393162393162393	0.401709401709402
235	-0.302127659574468	0.306382978723404	-0.404255319148936	0.408510638297872
236	-0.300847457627119	0.305084745762712	-0.398305084745763	0.394067796610169
237	-0.30379746835443	0.30379746835443	-0.39662447257384	0.392405063291139
238	-0.30672268907563	0.30672268907563	-0.403361344537815	0.403361344537815
239	-0.313807531380753	0.305439330543933	-0.422594142259414	0.393305439330544
240	-0.304166666666667	0.3125	-0.391666666666667	0.416666666666667
241	-0.307053941908714	0.307053941908714	-0.390041493775934	0.410788381742739
242	-0.301652892561984	0.301652892561984	-0.409090909090909	0.400826446280992
243	-0.304526748971193	0.308641975308642	-0.395061728395062	0.407407407407407
244	-0.30327868852459	0.30327868852459	-0.405737704918033	0.39344262295082
245	-0.310204081632653	0.310204081632653	-0.416326530612245	0.404081632653061
246	-0.308943089430894	0.313008130081301	-0.398373983739837	0.410569105691057
247	-0.303643724696356	0.307692307692308	-0.404858299595142	0.40080971659919
248	-0.306451612903226	0.306451612903226	-0.407258064516129	0.403225806451613
249	-0.305220883534137	0.305220883534137	-0.397590361445783	0.397590361445783
250	-0.3	0.308	-0.384	0.396
251	-0.302788844621514	0.306772908366534	-0.394422310756972	0.398406374501992
252	-0.30952380952381	0.305555555555556	-0.400793650793651	0.412698412698413
253	-0.308300395256917	0.300395256916996	-0.399209486166008	0.387351778656126
254	-0.307086614173228	0.311023622047244	-0.405511811023622	0.401574803149606
255	-0.305882352941176	0.305882352941176	-0.396078431372549	0.415686274509804
256	-0.30859375	0.30859375	-0.41015625	0.3984375
