DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
1	-1	1	-1	1	0	1	0	1	0	1	0	1
2	-1	1	-1	1	0	1	0	1	0	1	0	1
3	-0.666666666666667	0.666666666666667	-1	1	0	1	0	1	0	1	0	1
4	-0.75	0.75	-1	0.75	0	1	0	1	0	1	0	1
5	-0.6	0.6	-0.8	0.8	0	1	0	1	0	1	0	1
6	-0.666666666666667	0.5	-0.833333333333333	0.666666666666667	0	0.833333333333333	0	1	0.166666666666667	0.833333333333333	0	1
7	-0.571428571428571	0.571428571428571	-0.857142857142857	0.571428571428571	0.142857142857143	0.857142857142857	0	1	0.142857142857143	0.857142857142857	0	1
8	-0.5	0.625	-0.75	0.75	0.125	0.875	0	1	0.125	0.875	0	1
9	-0.555555555555556	0.444444444444444	-0.777777777777778	0.555555555555556	0.111111111111111	0.888888888888889	0.111111111111111	1	0.111111111111111	0.888888888888889	0.111111111111111	0.888888888888889
10	-0.5	0.5	-0.7	0.6	0.2	0.9	0	1	0.1	0.8	0.1	0.9
11	-0.454545454545455	0.454545454545455	-0.545454545454546	0.545454545454546	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909
12	-0.5	0.5	-0.583333333333333	0.583333333333333	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667
13	-0.461538461538462	0.384615384615385	-0.615384615384615	0.538461538461539	0.230769230769231	0.846153846153846	0.0769230769230769	0.846153846153846	0.153846153846154	0.846153846153846	0.0769230769230769	0.923076923076923
14	-0.428571428571429	0.5	-0.5	0.571428571428571	0.214285714285714	0.785714285714286	0.142857142857143	0.928571428571429	0.214285714285714	0.785714285714286	0.142857142857143	0.857142857142857
15	-0.4	0.466666666666667	-0.533333333333333	0.533333333333333	0.2	0.8	0.133333333333333	0.866666666666667	0.2	0.8	0.133333333333333	0.866666666666667
16	-0.4375	0.375	-0.5625	0.5	0.25	0.8125	0.1875	0.875	0.25	0.8125	0.125	0.875
17	-0.352941176470588	0.470588235294118	-0.470588235294118	0.529411764705882	0.235294117647059	0.764705882352941	0.117647058823529	0.882352941176471	0.176470588235294	0.764705882352941	0.117647058823529	0.823529411764706
18	-0.444444444444444	0.388888888888889	-0.555555555555556	0.555555555555556	0.166666666666667	0.777777777777778	0.111111111111111	0.833333333333333	0.222222222222222	0.777777777777778	0.111111111111111	0.833333333333333
19	-0.421052631578947	0.368421052631579	-0.473684210526316	0.473684210526316	0.210526315789474	0.789473684210526	0.105263157894737	0.894736842105263	0.210526315789474	0.789473684210526	0.157894736842105	0.842105263157895
20	-0.4	0.4	-0.5	0.5	0.2	0.8	0.15	0.85	0.25	0.75	0.15	0.8
21	-0.428571428571429	0.380952380952381	-0.523809523809524	0.428571428571429	0.238095238095238	0.761904761904762	0.142857142857143	0.857142857142857	0.19047619047619	0.761904761904762	0.142857142857143	0.857142857142857
22	-0.363636363636364	0.409090909090909	-0.545454545454545	0.545454545454545	0.227272727272727	0.772727272727273	0.181818181818182	0.818181818181818	0.227272727272727	0.772727272727273	0.0909090909090909	0.818181818181818
23	-0.391304347826087	0.391304347826087	-0.434782608695652	0.478260869565217	0.217391304347826	0.739130434782609	0.130434782608696	0.826086956521739	0.217391304347826	0.739130434782609	0.173913043478261	0.826086956521739
24	-0.375	0.375	-0.5	0.458333333333333	0.25	0.75	0.166666666666667	0.833333333333333	0.25	0.75	0.166666666666667	0.833333333333333
25	-0.4	0.36	-0.48	0.44	0.24	0.76	0.16	0.84	0.24	0.76	0.16	0.84
26	-0.346153846153846	0.384615384615385	-0.423076923076923	0.461538461538462	0.230769230769231	0.769230769230769	0.192307692307692	0.846153846153846	0.269230769230769	0.730769230769231	0.153846153846154	0.807692307692308
27	-0.37037037037037	0.37037037037037	-0.481481481481482	0.444444444444444	0.259259259259259	0.740740740740741	0.185185185185185	0.814814814814815	0.259259259259259	0.777777777777778	0.148148148148148	0.814814814814815
28	-0.357142857142857	0.357142857142857	-0.535714285714286	0.464285714285714	0.214285714285714	0.75	0.178571428571429	0.821428571428571	0.25	0.75	0.178571428571429	0.857142857142857
29	-0.379310344827586	0.379310344827586	-0.482758620689655	0.413793103448276	0.241379310344828	0.724137931034483	0.172413793103448	0.793103448275862	0.241379310344828	0.724137931034483	0.206896551724138	0.827586206896552
30	-0.366666666666667	0.333333333333333	-0.433333333333333	0.466666666666667	0.233333333333333	0.733333333333333	0.2	0.8	0.233333333333333	0.733333333333333	0.166666666666667	0.8
31	-0.354838709677419	0.354838709677419	-0.483870967741935	0.419354838709677	0.258064516129032	0.741935483870968	0.161290322580645	0.838709677419355	0.258064516129032	0.741935483870968	0.193548387096774	0.806451612903226
32	-0.34375	0.34375	-0.46875	0.46875	0.28125	0.75	0.15625	0.84375	0.25	0.75	0.1875	0.8125
33	-0.363636363636364	0.363636363636364	-0.454545454545455	0.454545454545455	0.242424242424242	0.757575757575758	0.212121212121212	0.818181818181818	0.242424242424242	0.727272727272727	0.181818181818182	0.787878787878788
34	-0.323529411764706	0.352941176470588	-0.470588235294118	0.441176470588235	0.264705882352941	0.735294117647059	0.176470588235294	0.794117647058823	0.264705882352941	0.735294117647059	0.176470588235294	0.823529411764706
35	-0.314285714285714	0.371428571428571	-0.428571428571429	0.485714285714286	0.257142857142857	0.771428571428571	0.2	0.828571428571429	0.257142857142857	0.742857142857143	0.2	0.8
36	-0.333333333333333	0.333333333333333	-0.444444444444444	0.444444444444444	0.25	0.75	0.194444444444444	0.805555555555556	0.25	0.722222222222222	0.194444444444444	0.805555555555556
