DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
1	-1	1	-1	1	0	1	0	1	0	1	0	1
2	-1	1	-1	1	0	1	0	1	0	1	0	1
3	-0.666666666666667	0.666666666666667	-1	1	0	1	0	1	0	1	0	1
4	-0.75	0.75	-1	1	0	1	0	1	0	1	0	1
5	-0.6	0.6	-0.8	0.8	0	1	0	1	0	1	0	1
6	-0.666666666666667	0.666666666666667	-0.833333333333333	0.666666666666667	0	1	0	1	0	0.833333333333333	0	1
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714	0.142857142857143	0.857142857142857	0	1	0.142857142857143	0.857142857142857	0	1
8	-0.5	0.5	-0.625	0.75	0.125	0.875	0	1	0.125	0.875	0	1
9	-0.555555555555556	0.555555555555556	-0.777777777777778	0.666666666666667	0.111111111111111	0.888888888888889	0	0.888888888888889	0.111111111111111	0.888888888888889	0	1
10	-0.5	0.5	-0.6	0.7	0.1	0.9	0.1	1	0.1	0.9	0	0.9
11	-0.545454545454545	0.545454545454545	-0.636363636363636	0.727272727272727	0.181818181818182	0.909090909090909	0.0909090909090909	0.909090909090909	0.181818181818182	0.909090909090909	0.0909090909090909	0.909090909090909
12	-0.5	0.5	-0.666666666666667	0.666666666666667	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667	0.166666666666667	0.833333333333333	0.0833333333333333	0.916666666666667
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.615384615384615	0.153846153846154	0.846153846153846	0.0769230769230769	0.923076923076923	0.153846153846154	0.846153846153846	0.0769230769230769	0.923076923076923
14	-0.428571428571429	0.5	-0.571428571428571	0.642857142857143	0.142857142857143	0.857142857142857	0.0714285714285714	0.928571428571429	0.142857142857143	0.785714285714286	0.0714285714285714	0.928571428571429
15	-0.466666666666667	0.4	-0.6	0.533333333333333	0.2	0.8	0.0666666666666667	0.866666666666667	0.2	0.8	0.133333333333333	0.866666666666667
16	-0.4375	0.4375	-0.5625	0.5	0.1875	0.8125	0.0625	0.875	0.1875	0.8125	0.0625	0.875
17	-0.411764705882353	0.411764705882353	-0.588235294117647	0.529411764705882	0.235294117647059	0.764705882352941	0.117647058823529	0.882352941176471	0.176470588235294	0.823529411764706	0.117647058823529	0.882352941176471
18	-0.444444444444444	0.444444444444444	-0.555555555555556	0.611111111111111	0.222222222222222	0.833333333333333	0.0555555555555556	0.888888888888889	0.166666666666667	0.833333333333333	0.111111111111111	0.888888888888889
19	-0.421052631578947	0.421052631578947	-0.526315789473684	0.526315789473684	0.157894736842105	0.789473684210526	0.105263157894737	0.894736842105263	0.210526315789474	0.789473684210526	0.105263157894737	0.842105263157895
20	-0.45	0.4	-0.55	0.55	0.2	0.8	0.15	0.9	0.2	0.85	0.1	0.9
21	-0.428571428571429	0.428571428571429	-0.523809523809524	0.571428571428571	0.238095238095238	0.80952380952381	0.142857142857143	0.904761904761905	0.19047619047619	0.80952380952381	0.0952380952380952	0.857142857142857
22	-0.409090909090909	0.409090909090909	-0.545454545454545	0.545454545454545	0.181818181818182	0.772727272727273	0.136363636363636	0.863636363636364	0.181818181818182	0.772727272727273	0.0909090909090909	0.863636363636364
23	-0.391304347826087	0.434782608695652	-0.521739130434783	0.521739130434783	0.217391304347826	0.782608695652174	0.173913043478261	0.826086956521739	0.217391304347826	0.782608695652174	0.130434782608696	0.869565217391304
24	-0.416666666666667	0.416666666666667	-0.583333333333333	0.541666666666667	0.208333333333333	0.791666666666667	0.0833333333333333	0.875	0.208333333333333	0.791666666666667	0.166666666666667	0.875
25	-0.44	0.36	-0.6	0.52	0.2	0.76	0.12	0.84	0.2	0.8	0.16	0.88
26	-0.423076923076923	0.423076923076923	-0.538461538461538	0.538461538461539	0.192307692307692	0.769230769230769	0.115384615384615	0.846153846153846	0.230769230769231	0.769230769230769	0.153846153846154	0.807692307692308
27	-0.407407407407407	0.407407407407407	-0.481481481481482	0.518518518518518	0.222222222222222	0.777777777777778	0.148148148148148	0.851851851851852	0.185185185185185	0.777777777777778	0.148148148148148	0.851851851851852
28	-0.392857142857143	0.428571428571429	-0.5	0.5	0.25	0.785714285714286	0.142857142857143	0.821428571428571	0.214285714285714	0.785714285714286	0.142857142857143	0.857142857142857
29	-0.379310344827586	0.379310344827586	-0.551724137931034	0.517241379310345	0.206896551724138	0.793103448275862	0.137931034482759	0.862068965517241	0.206896551724138	0.793103448275862	0.172413793103448	0.896551724137931
30	-0.4	0.433333333333333	-0.566666666666667	0.6	0.233333333333333	0.766666666666667	0.133333333333333	0.833333333333333	0.2	0.766666666666667	0.1	0.833333333333333
31	-0.387096774193548	0.419354838709677	-0.548387096774194	0.516129032258065	0.225806451612903	0.774193548387097	0.0967741935483871	0.838709677419355	0.193548387096774	0.774193548387097	0.129032258064516	0.838709677419355
32	-0.375	0.375	-0.53125	0.46875	0.21875	0.75	0.125	0.84375	0.21875	0.75	0.15625	0.84375
33	-0.393939393939394	0.393939393939394	-0.515151515151515	0.545454545454545	0.242424242424242	0.757575757575758	0.181818181818182	0.848484848484849	0.212121212121212	0.787878787878788	0.121212121212121	0.848484848484849
34	-0.382352941176471	0.411764705882353	-0.529411764705882	0.5	0.205882352941176	0.764705882352941	0.117647058823529	0.823529411764706	0.235294117647059	0.764705882352941	0.147058823529412	0.823529411764706
35	-0.371428571428571	0.4	-0.514285714285714	0.457142857142857	0.228571428571429	0.771428571428571	0.142857142857143	0.8	0.228571428571429	0.771428571428571	0.142857142857143	0.857142857142857
36	-0.388888888888889	0.361111111111111	-0.5	0.444444444444444	0.222222222222222	0.75	0.138888888888889	0.833333333333333	0.222222222222222	0.75	0.166666666666667	0.833333333333333
