DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
37	-0.297297297297297	0.27027027027027	-0.351351351351351	0.378378378378378	0.297297297297297	0.702702702702703	0.243243243243243	0.756756756756757	0.297297297297297	0.702702702702703	0.243243243243243	0.783783783783784
38	-0.315789473684211	0.315789473684211	-0.394736842105263	0.368421052631579	0.289473684210526	0.710526315789474	0.236842105263158	0.789473684210526	0.289473684210526	0.710526315789474	0.236842105263158	0.763157894736842
39	-0.282051282051282	0.282051282051282	-0.358974358974359	0.384615384615385	0.282051282051282	0.692307692307692	0.205128205128205	0.769230769230769	0.307692307692308	0.692307692307692	0.230769230769231	0.769230769230769
40	-0.3	0.3	-0.375	0.375	0.275	0.7	0.2	0.775	0.275	0.725	0.25	0.775
41	-0.292682926829268	0.292682926829268	-0.390243902439024	0.390243902439024	0.292682926829268	0.707317073170732	0.219512195121951	0.804878048780488	0.292682926829268	0.707317073170732	0.219512195121951	0.780487804878049
42	-0.261904761904762	0.285714285714286	-0.380952380952381	0.380952380952381	0.30952380952381	0.69047619047619	0.261904761904762	0.738095238095238	0.285714285714286	0.69047619047619	0.214285714285714	0.738095238095238
43	-0.27906976744186	0.302325581395349	-0.372093023255814	0.418604651162791	0.302325581395349	0.697674418604651	0.255813953488372	0.767441860465116	0.27906976744186	0.720930232558139	0.209302325581395	0.767441860465116
44	-0.272727272727273	0.272727272727273	-0.386363636363636	0.386363636363636	0.272727272727273	0.704545454545455	0.227272727272727	0.795454545454545	0.295454545454545	0.681818181818182	0.25	0.75
45	-0.311111111111111	0.288888888888889	-0.355555555555556	0.4	0.288888888888889	0.688888888888889	0.244444444444444	0.777777777777778	0.288888888888889	0.688888888888889	0.244444444444444	0.755555555555556
46	-0.282608695652174	0.304347826086956	-0.369565217391304	0.369565217391304	0.304347826086957	0.717391304347826	0.239130434782609	0.782608695652174	0.304347826086957	0.695652173913043	0.239130434782609	0.760869565217391
47	-0.297872340425532	0.276595744680851	-0.361702127659574	0.340425531914894	0.297872340425532	0.702127659574468	0.234042553191489	0.765957446808511	0.297872340425532	0.702127659574468	0.25531914893617	0.765957446808511
